         144609954 function calls (139088277 primitive calls) in 166.063 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.000    0.000 indexing.py:1583(_has_valid_type)
       24    0.000    0.000    0.000    0.000 locale.py:365(normalize)
       24    0.000    0.000    0.002    0.000 datetimelike.py:840(_append_same_dtype)
       96    0.000    0.000    0.002    0.000 format.py:290(justify)
       24    0.000    0.000    0.000    0.000 numeric.py:134(_convert_scalar_indexer)
      120    0.000    0.000    0.000    0.000 series.py:461(__len__)
       24    0.000    0.000    0.000    0.000 generic.py:1702(_maybe_update_cacher)
       24    0.000    0.000    0.015    0.001 base.py:1884(format)
       54    0.000    0.000    0.062    0.001 generic.py:1792(_check_setitem_copy)
       49    0.000    0.000    0.001    0.000 dtypes.py:263(__eq__)
       24    0.000    0.000    0.001    0.000 base.py:705(view)
       48    0.000    0.000    0.000    0.000 indexing.py:505(<genexpr>)
      370    0.000    0.000    0.000    0.000 selections.py:161(shape)
      379    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_integer}
       48    0.000    0.000    0.001    0.000 dtypes.py:255(name)
       24    0.000    0.000    0.000    0.000 internals.py:1624(should_store)
        6    0.000    0.000    0.001    0.000 parser.py:190(split)
       24    0.000    0.000    0.000    0.000 internals.py:196(make_block)
        4    0.000    0.000    0.000    0.000 offsets.py:2745(delta)
       48    0.000    0.000    0.000    0.000 internals.py:256(_slice)
       72    0.000    0.000    0.000    0.000 indexing.py:175(<genexpr>)
       82    0.000    0.000    0.029    0.000 internals.py:3560(consolidate)
       25    0.000    0.000    0.000    0.000 indexing.py:93(__init__)
       72    0.000    0.000    0.000    0.000 nanops.py:56(<genexpr>)
       48    0.000    0.000    0.004    0.000 indexing.py:141(_slice)
       24    0.000    0.000    0.005    0.000 internals.py:3202(setitem)
        2    0.000    0.000    0.004    0.002 base.py:3852(_evaluate_numeric_binop)
       24    0.000    0.000    0.001    0.000 series.py:1049(__iter__)
       24    0.000    0.000    0.000    0.000 format.py:1766(__init__)
      124    0.000    0.000    0.000    0.000 selections.py:265(<genexpr>)
       80    0.000    0.000    0.000    0.000 frame.py:485(axes)
       24    0.000    0.000    0.001    0.000 format.py:2102(_is_dates_only)
        6    0.000    0.000    0.001    0.000 base.py:3585(insert)
       48    0.000    0.000    0.000    0.000 format.py:284(__init__)
       25    0.000    0.000    0.005    0.000 concat.py:513(_concat_indexes)
       26    0.000    0.000    0.001    0.000 common.py:609(is_datetimelike)
       28    0.000    0.000    0.000    0.000 {sorted}
       24    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.DatetimeEngine' objects}
       24    0.000    0.000    0.000    0.000 StringIO.py:258(getvalue)
        2    0.000    0.000    0.000    0.000 datetimes.py:184(to_datetime)
       74    0.000    0.000    0.000    0.000 selections.py:405(<genexpr>)
       24    0.000    0.000    0.000    0.000 common.py:125(_consensus_name_attr)
       10    0.000    0.000    0.000    0.000 base.py:1537(_engine)
        5    0.000    0.000    0.004    0.001 numeric.py:30(__new__)
        3    0.000    0.000    0.008    0.003 algorithms.py:1375(take_nd)
        3    0.000    0.000    0.080    0.027 internals.py:4513(_consolidate)
       75    0.000    0.000    0.000    0.000 {any}
        2    0.000    0.000    0.012    0.006 frequencies.py:848(get_freq)
        2    0.000    0.000    0.000    0.000 stride_tricks.py:38(as_strided)
       66    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      150    0.000    0.000    0.000    0.000 parser.py:320(<genexpr>)
       48    0.000    0.000    0.000    0.000 base.py:1270(is_integer)
      120    0.000    0.000    0.000    0.000 internals.py:4185(index)
      8/2    0.000    0.000    0.000    0.000 copy.py:145(deepcopy)
       54    0.000    0.000    0.000    0.000 frame.py:768(__len__)
       48    0.000    0.000    0.000    0.000 range.py:446(__len__)
        3    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
       24    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       55    0.000    0.000    0.000    0.000 dtypes.py:456(construct_from_string)
        1    0.000    0.000    0.000    0.000 files.py:40(make_fapl)
       48    0.000    0.000    0.000    0.000 indexing.py:2042(need_slice)
       48    0.000    0.000    0.000    0.000 base.py:797(shape)
       48    0.000    0.000    0.000    0.000 range.py:61(_ensure_int)
       24    0.000    0.000    0.000    0.000 indexing.py:1863(length_of_indexer)
       24    0.000    0.000    0.000    0.000 internals.py:599(_try_coerce_and_cast_result)
        2    0.000    0.000    0.009    0.004 datetimes.py:106(wrapper)
       24    0.000    0.000    0.000    0.000 nanops.py:138(_bn_ok_dtype)
        2    0.000    0.000    0.000    0.000 internals.py:3362(combine)
       34    0.000    0.000    0.000    0.000 common.py:740(is_integer_dtype)
       30    0.000    0.000    0.000    0.000 frame.py:2368(_ensure_valid_index)
       18    0.000    0.000    0.000    0.000 internals.py:307(ftype)
       24    0.000    0.000    0.100    0.004 base.py:42(__str__)
       27    0.000    0.000    0.057    0.002 internals.py:3309(is_mixed_type)
        1    0.000    0.000    0.047    0.047 window.py:267(_wrap_results)
       53    0.000    0.000    0.000    0.000 base.py:564(get_values)
        2    0.000    0.000    0.008    0.004 base.py:3707(_evaluate_compare)
        2    0.000    0.000    0.000    0.000 {pandas._libs.tslib.array_to_datetime}
        1    0.000    0.000   78.889   78.889 frame.py:4292(_apply_standard)
      272    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       74    0.000    0.000    0.000    0.000 dataset.py:34(readtime_dtype)
        9    0.000    0.000    0.008    0.001 fromnumeric.py:55(_wrapfunc)
        1    0.000    0.000    0.032    0.032 generic.py:2480(reindex)
      176    0.000    0.000    0.000    0.000 datetimes.py:1666(is_all_dates)
       34    0.000    0.000    0.000    0.000 base.py:3360(_maybe_cast_indexer)
       24    0.000    0.000    0.001    0.000 format.py:2150(_get_format_datetime64_from_values)
       72    0.000    0.000    0.000    0.000 internals.py:4244(is_consolidated)
       67    0.000    0.000    0.000    0.000 internals.py:3296(is_consolidated)
        3    0.000    0.000    0.000    0.000 offsets.py:197(_determine_offset)
        2    0.000    0.000    0.000    0.000 internals.py:5159(is_null)
        2    0.000    0.000    0.036    0.018 frequencies.py:749(infer_freq)
       12    0.000    0.000    0.000    0.000 function_base.py:5095(append)
       48    0.000    0.000    0.000    0.000 nanops.py:48(check)
       27    0.000    0.000    0.057    0.002 generic.py:3171(_is_mixed_type)
        2    0.000    0.000    0.025    0.012 frequencies.py:814(__init__)
        1    0.000    0.000    0.004    0.004 datetimes.py:1960(_generate_regular_range)
       25    0.000    0.000    0.000    0.000 base.py:1282(is_categorical)
        3    0.000    0.000    0.030    0.010 datetimes.py:553(_local_timestamps)
      146    0.000    0.000    0.000    0.000 tzinfo.py:65(__str__)
       28    0.000    0.000    0.000    0.000 parser.py:180(__next__)
       36    0.000    0.000    0.000    0.000 {range}
        7    0.000    0.000    0.000    0.000 internals.py:2864(_is_single_block)
       24    0.000    0.000    0.000    0.000 locale.py:548(getlocale)
       25    0.000    0.000    0.000    0.000 concat.py:415(_get_result_dim)
       24    0.000    0.000    0.000    0.000 platform.py:1256(system)
       24    0.000    0.000    0.001    0.000 internals.py:3431(<lambda>)
        6    0.000    0.000    0.000    0.000 parser.py:311(weekday)
       48    0.000    0.000    0.000    0.000 concat.py:119(is_nonempty)
       74    0.000    0.000    0.000    0.000 parser.py:194(isword)
      146    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
        2    0.000    0.000    0.001    0.000 datetimes.py:2147(_to_m8)
        6    0.000    0.000    0.000    0.000 parser.py:52(__init__)
       48    0.000    0.000    0.000    0.000 concat.py:136(<genexpr>)
        6    0.000    0.000    0.001    0.000 base.py:717(_coerce_scalar_to_index)
       26    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        5    0.000    0.000    0.000    0.000 shape_base.py:109(<genexpr>)
       27    0.000    0.000    0.057    0.002 generic.py:3173(<lambda>)
       16    0.000    0.000    0.000    0.000 internals.py:4519(<lambda>)
        1    0.000    0.000    0.000    0.000 generic.py:3315(as_blocks)
       50    0.000    0.000    0.000    0.000 _validators.py:220(validate_bool_kwarg)
        1    0.000    0.000    0.014    0.014 internals.py:4814(concatenate_block_managers)
      122    0.000    0.000    0.000    0.000 base.py:802(ndim)
       24    0.000    0.000    0.000    0.000 base.py:1584(__iter__)
       24    0.000    0.000    0.000    0.000 _strptime.py:27(_getlang)
       62    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       96    0.000    0.000    0.000    0.000 internals.py:4250(_consolidate_inplace)
       54    0.000    0.000    0.000    0.000 offsets.py:491(rule_code)
       24    0.000    0.000    0.000    0.000 {_struct.unpack}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        5    0.000    0.000    0.000    0.000 generic.py:3214(as_matrix)
        6    0.000    0.000    0.000    0.000 parser.py:212(__init__)
      120    0.000    0.000    0.000    0.000 StringIO.py:38(_complain_ifclosed)
        1    0.000    0.000    0.013    0.013 generic.py:1909(take)
        1    0.000    0.000    0.014    0.014 files.py:227(__init__)
        7    0.000    0.000    0.001    0.000 base.py:412(_shallow_copy_with_infer)
       26    0.000    0.000    0.000    0.000 indexing.py:2017(is_nested_tuple)
       24    0.000    0.000    0.000    0.000 _methods.py:25(_amax)
        2    0.000    0.000    0.013    0.006 internals.py:4927(concatenate_join_units)
       24    0.000    0.000    0.000    0.000 locale.py:449(_parse_localename)
       12    0.000    0.000    0.000    0.000 fromnumeric.py:1380(ravel)
        3    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 datetimes.py:343(_convert_listlike)
       72    0.000    0.000    0.000    0.000 series.py:268(_constructor)
        6    0.000    0.000    0.000    0.000 parser.py:375(__init__)
        2    0.000    0.000    0.000    0.000 base.py:777(_validate_names)
       10    0.000    0.000    0.000    0.000 numeric.py:729(<genexpr>)
        6    0.000    0.000    0.000    0.000 parser.py:319(month)
        3    0.000    0.000   81.809   27.270 window.py:601(f)
        6    0.000    0.000    0.000    0.000 datetimes.py:55(_utc)
        2    0.000    0.000    0.000    0.000 window.py:245(_wrap_result)
       25    0.000    0.000    0.000    0.000 common.py:245(_try_sort)
       55    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_object}
       24    0.000    0.000    0.000    0.000 series.py:471(__array__)
        2    0.000    0.000    0.000    0.000 frequencies.py:1051(_maybe_add_count)
       60    0.000    0.000    0.000    0.000 base.py:549(dtype)
       24    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.000    0.000 frame.py:413(_init_ndarray)
       90    0.000    0.000    0.000    0.000 parser.py:312(<genexpr>)
       10    0.000    0.000    0.000    0.000 base.py:1540(<lambda>)
        3    0.000    0.000    0.038    0.013 internals.py:4583(_vstack)
        1    0.000    0.000    0.015    0.015 frame.py:1983(_getitem_array)
        5    0.000    0.000    0.000    0.000 internals.py:3438(as_matrix)
        1    0.000    0.000    0.002    0.002 datetimelike.py:391(take)
       24    0.000    0.000    0.000    0.000 platform.py:1119(uname)
        3    0.000    0.000    0.001    0.000 datetimelike.py:442(_maybe_mask_results)
       10    0.000    0.000    0.000    0.000 posixpath.py:82(split)
        1    0.000    0.000    0.008    0.008 internals.py:3860(reindex_indexer)
        1    0.000    0.000   78.889   78.889 frame.py:4159(apply)
       37    0.000    0.000    0.000    0.000 internals.py:3003(<genexpr>)
       24    0.000    0.000    0.000    0.000 __init__.py:172(itervalues)
        2    0.000    0.000    0.000    0.000 frequencies.py:888(hour_deltas)
        8    0.000    0.000    0.000    0.000 <string>:8(__new__)
        2    0.000    0.000    0.000    0.000 base.py:3798(_validate_for_numeric_binop)
        2    0.000    0.000    0.003    0.001 base.py:754(copy)
        1    0.000    0.000    0.000    0.000 concat.py:405(_concat_index_asobject)
       50    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
       50    0.000    0.000    0.000    0.000 datetimes.py:1654(inferred_type)
        2    0.000    0.000    0.000    0.000 numerictypes.py:964(find_common_type)
       11    0.000    0.000    0.000    0.000 base.py:534(__array__)
        3    0.000    0.000    0.000    0.000 group.py:33(__init__)
        3    0.000    0.000    0.000    0.000 offsets.py:191(__init__)
        5    0.000    0.000    0.000    0.000 index_tricks.py:585(__next__)
       48    0.000    0.000    0.000    0.000 concat.py:137(<genexpr>)
       24    0.000    0.000    0.000    0.000 internals.py:591(_try_coerce_args)
        1    0.000    0.000    0.000    0.000 generic.py:1762(_set_is_copy)
       48    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        3    0.000    0.000    0.001    0.000 internals.py:5031(combine_concat_plans)
        1    0.000    0.000    0.008    0.008 internals.py:1025(take_nd)
       22    0.000    0.000    0.000    0.000 base.py:857(_values)
       24    0.000    0.000    0.000    0.000 internals.py:3707(value_getitem)
        2    0.000    0.000    0.000    0.000 internals.py:4283(create_block_manager_from_blocks)
       24    0.000    0.000    0.000    0.000 common.py:406(is_null_slice)
        1    0.000    0.000    0.000    0.000 window.py:2044(rolling)
       77    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_bool}
        1    0.000    0.000    0.000    0.000 __init__.py:1546(_setup_prefix)
        2    0.000    0.000    0.001    0.001 base.py:1828(hasnans)
       37    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 offsets.py:411(__mul__)
       34    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {method 'center' of 'str' objects}
       16    0.000    0.000    0.000    0.000 internals.py:117(_consolidate_key)
        2    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_1d_int64_int64}
        1    0.000    0.000    0.000    0.000 window.py:529(_prep_window)
        6    0.000    0.000    0.000    0.000 frequencies.py:1224(_is_multiple)
        8    0.000    0.000    0.000    0.000 copy.py:267(_keep_alive)
       28    0.000    0.000    0.000    0.000 parser.py:187(next)
        2    0.000    0.000    0.000    0.000 internals.py:5188(get_reindexed_values)
        2    0.000    0.000    0.000    0.000 {pandas._libs.lib.get_reverse_indexer}
       27    0.000    0.000    0.000    0.000 {all}
       25    0.000    0.000    0.000    0.000 concat.py:505(_maybe_check_integrity)
        2    0.000    0.000    0.000    0.000 copy.py:234(_deepcopy_tuple)
       74    0.000    0.000    0.000    0.000 dataset.py:407(<genexpr>)
       24    0.000    0.000    0.000    0.000 series.py:551(axes)
       26    0.000    0.000    0.000    0.000 function.py:38(__call__)
        3    0.000    0.000    0.038    0.013 shape_base.py:182(vstack)
      124    0.000    0.000    0.000    0.000 selections.py:237(mshape)
       74    0.000    0.000    0.000    0.000 selections.py:156(id)
       24    0.000    0.000    0.000    0.000 common.py:412(is_full_slice)
        1    0.000    0.000    0.000    0.000 __init__.py:428(get_provider)
        2    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.generic' objects}
        7    0.000    0.000    0.000    0.000 internals.py:160(get_values)
        2    0.000    0.000    0.000    0.000 copy.py:306(_reconstruct)
        1    0.000    0.000    0.000    0.000 windows.py:1680(get_window)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:826(argsort)
        7    0.000    0.000    0.000    0.000 _methods.py:40(_all)
        7    0.000    0.000    0.000    0.000 common.py:654(is_dtype_equal)
        2    0.000    0.000    0.000    0.000 internals.py:4952(get_mgr_concatenation_plan)
       24    0.000    0.000    0.000    0.000 internals.py:727(_is_empty_indexer)
       24    0.000    0.000    0.000    0.000 internals.py:718(_is_scalar_indexer)
        2    0.000    0.000    0.006    0.003 frequencies.py:836(deltas_asi8)
        2    0.000    0.000    0.000    0.000 indexing.py:1971(convert_from_missing_indexer_tuple)
       48    0.000    0.000    0.000    0.000 internals.py:3072(<genexpr>)
        5    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
        6    0.000    0.000    0.000    0.000 parser.py:333(ampm)
       48    0.000    0.000    0.000    0.000 internals.py:694(<lambda>)
        2    0.000    0.000    0.000    0.000 numeric.py:87(zeros_like)
        4    0.000    0.000    0.000    0.000 base.py:105(_e)
        2    0.000    0.000    0.000    0.000 missing.py:343(_infer_fill_value)
        3    0.000    0.000    0.000    0.000 numeric.py:148(_assert_safe_casting)
      7/5    0.000    0.000    0.000    0.000 {next}
        2    0.000    0.000    0.000    0.000 base.py:1772(take)
        4    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty_like}
        1    0.000    0.000    0.000    0.000 generic.py:295(_construct_axes_from_arguments)
        2    0.000    0.000    0.000    0.000 window.py:1987(_offset)
        6    0.000    0.000    0.000    0.000 datetimes.py:543(_box_func)
        2    0.000    0.000    0.008    0.004 fromnumeric.py:42(_wrapit)
        2    0.000    0.000    0.000    0.000 base.py:1066(set_names)
        2    0.000    0.000    0.000    0.000 frozen.py:38(__getitem__)
        1    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
       24    0.000    0.000    0.000    0.000 {_locale.setlocale}
        2    0.000    0.000    0.000    0.000 series.py:351(values)
       48    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       11    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.008    0.008 datetimes.py:2002(date_range)
        1    0.000    0.000    0.000    0.000 window.py:115(_convert_freq)
       24    0.000    0.000    0.000    0.000 range.py:152(_validate_dtype)
        1    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 window.py:65(__init__)
        8    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       28    0.000    0.000    0.000    0.000 base.py:437(_deepcopy_if_needed)
        1    0.000    0.000    0.000    0.000 base.py:1981(identical)
        2    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        2    0.000    0.000    0.000    0.000 common.py:1012(is_datetime64_ns_dtype)
        3    0.000    0.000    0.000    0.000 series.py:2870(_sanitize_index)
        3    0.000    0.000    0.000    0.000 algorithms.py:1342(_get_take_nd_function)
        2    0.000    0.000    0.006    0.003 frequencies.py:844(is_unique_asi8)
        1    0.000    0.000    0.000    0.000 cast.py:251(maybe_promote)
        1    0.000    0.000    0.000    0.000 base.py:1578(is_all_dates)
        1    0.000    0.000    0.000    0.000 generic.py:6188(rolling)
       74    0.000    0.000    0.000    0.000 {method 'isalpha' of 'str' objects}
       10    0.000    0.000    0.000    0.000 six.py:184(find_module)
        2    0.000    0.000    0.000    0.000 copy.py:226(_deepcopy_list)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:504(transpose)
       10    0.000    0.000    0.000    0.000 __init__.py:2176(_is_unpacked_egg)
        4    0.000    0.000    0.000    0.000 generic.py:159(_init_mgr)
        6    0.000    0.000    0.000    0.000 internals.py:5246(_fast_count_smallints)
        2    0.000    0.000    0.000    0.000 internals.py:5137(needs_filling)
        5    0.000    0.000    0.000    0.000 base.py:685(_coerce_to_ndarray)
       26    0.000    0.000    0.000    0.000 indexing.py:243(_has_valid_setitem_indexer)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 window.py:132(_create_blocks)
        1    0.000    0.000    0.032    0.032 frame.py:2730(reindex)
        2    0.000    0.000    0.000    0.000 internals.py:4218(external_values)
        2    0.000    0.000    0.000    0.000 base.py:1058(_set_names)
        2    0.000    0.000    0.000    0.000 internals.py:5146(dtype)
       24    0.000    0.000    0.000    0.000 {method 'itervalues' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 generic.py:3256(values)
        2    0.000    0.000    0.000    0.000 base.py:1790(_assert_take_fillable)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(__init__)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:709(sort)
        2    0.000    0.000    0.008    0.004 fromnumeric.py:357(repeat)
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.copyto}
       24    0.000    0.000    0.000    0.000 numeric.py:75(is_all_dates)
        1    0.000    0.000    0.000    0.000 api.py:47(_get_distinct_indexes)
        2    0.000    0.000    0.006    0.003 frequencies.py:832(deltas)
        6    0.000    0.000    0.000    0.000 base.py:1258(is_unique)
        2    0.000    0.000    0.000    0.000 frame.py:5561(_prep_ndarray)
        1    0.000    0.000    0.000    0.000 offsets.py:2734(__ne__)
        1    0.000    0.000    0.000    0.000 window.py:542(_validate_win_type)
        7    0.000    0.000    0.000    0.000 internals.py:295(shape)
        2    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 base.py:265(__init__)
        2    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 concat.py:87(_get_frame_result_type)
        1    0.000    0.000    0.000    0.000 concat.py:445(_get_comb_axis)
        3    0.000    0.000    0.000    0.000 frame.py:493(shape)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(resource_filename)
        9    0.000    0.000    0.000    0.000 parser.py:199(isnum)
        1    0.000    0.000    0.000    0.000 generic.py:330(_from_axes)
        1    0.000    0.000    0.000    0.000 __init__.py:1523(_fn)
       24    0.000    0.000    0.000    0.000 internals.py:595(_try_coerce_result)
        4    0.000    0.000    0.000    0.000 numerictypes.py:942(_can_coerce_all)
        1    0.000    0.000    0.000    0.000 posixpath.py:61(join)
        1    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_datetime_array}
        1    0.000    0.000    0.000    0.000 function.py:276(validate_window_func)
        6    0.000    0.000    0.000    0.000 parser.py:308(jump)
        2    0.000    0.000    0.000    0.000 base.py:1055(_get_names)
        1    0.000    0.000    0.000    0.000 offsets.py:2749(nanos)
        9    0.000    0.000    0.000    0.000 parser.py:204(isspace)
        5    0.000    0.000    0.000    0.000 six.py:180(find_module)
        1    0.000    0.000    0.000    0.000 __init__.py:2901(_find_adapter)
        4    0.000    0.000    0.000    0.000 indexing.py:1974(get_indexer)
        1    0.000    0.000    0.000    0.000 datetimes.py:44(_infer)
        2    0.000    0.000    0.000    0.000 offsets.py:415(__rmul__)
        2    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 frozen.py:61(__reduce__)
        1    0.000    0.000    0.000    0.000 generic.py:372(_get_block_manager_axis)
        1    0.000    0.000    0.000    0.000 window.py:553(_pop_args)
        2    0.000    0.000    0.000    0.000 indexing.py:1954(convert_missing_indexer)
       11    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.000    0.000 base.py:93(_lapl)
        4    0.000    0.000    0.000    0.000 base.py:1566(inferred_type)
        1    0.000    0.000    0.000    0.000 datetimes.py:2177(_use_cached_range)
        2    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1450(get_resource_filename)
        3    0.000    0.000    0.000    0.000 api.py:48(<genexpr>)
        3    0.000    0.000    0.000    0.000 frame.py:250(_constructor)
        1    0.000    0.000    0.000    0.000 api.py:31(_get_combined_index)
        1    0.000    0.000    0.000    0.000 common.py:241(_count_not_none)
        9    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {pandas._libs.tslib.get_timezone}
        4    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 base.py:1744(_append_same_dtype)
        2    0.000    0.000    0.000    0.000 stride_tricks.py:25(_maybe_view_as_subclass)
        9    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 offsets.py:202(<genexpr>)
        1    0.000    0.000    0.000    0.000 datetimes.py:43(_infer_tzinfo)
        1    0.000    0.000    0.000    0.000 {pandas._libs.tslib._delta_to_nanoseconds}
        1    0.000    0.000    0.000    0.000 __init__.py:1446(__init__)
        2    0.000    0.000    0.000    0.000 base.py:1986(<genexpr>)
        2    0.000    0.000    0.000    0.000 internals.py:5125(__init__)
        5    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        4    0.000    0.000    0.000    0.000 common.py:242(<genexpr>)
        2    0.000    0.000    0.000    0.000 stride_tricks.py:20(__init__)
        3    0.000    0.000    0.000    0.000 concat.py:93(<genexpr>)
        1    0.000    0.000    0.000    0.000 window.py:172(__getattr__)
        1    0.000    0.000    0.000    0.000 window.py:104(validate)
        1    0.000    0.000    0.000    0.000 missing.py:579(clean_reindex_fill_method)
        1    0.000    0.000    0.000    0.000 window.py:184(_get_window)
        1    0.000    0.000    0.000    0.000 __init__.py:2892(_get_mro)
        2    0.000    0.000    0.000    0.000 internals.py:150(external_values)
        1    0.000    0.000    0.000    0.000 base.py:1152(_has_complex_internals)
       24    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {gc.get_referents}
        1    0.000    0.000    0.000    0.000 internals.py:181(fill_value)
        2    0.000    0.000    0.000    0.000 {round}
        1    0.000    0.000    0.000    0.000 numeric.py:2565(array_equal)
        1    0.000    0.000    0.000    0.000 windows.py:31(_truncate)
        4    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_platform_int}
        3    0.000    0.000    0.000    0.000 window.py:2007(_use_window)
        1    0.000    0.000    0.000    0.000 base.py:312(_selected_obj)
        1    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 frame.py:5219(_get_agg_axis)
        1    0.000    0.000    0.000    0.000 windows.py:16(_len_guards)
        2    0.000    0.000    0.000    0.000 frame.py:430(_get_axes)
        1    0.000    0.000    0.000    0.000 internals.py:1659(_can_hold_element)
        1    0.000    0.000    0.000    0.000 windows.py:23(_extend)
        9    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 missing.py:73(clean_fill_method)
        1    0.000    0.000    0.000    0.000 offsets.py:308(_should_cache)
        2    0.000    0.000    0.000    0.000 base.py:3784(_maybe_update_attributes)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 parser.py:177(__iter__)
        1    0.000    0.000    0.000    0.000 {sys.getfilesystemencoding}
        2    0.000    0.000    0.000    0.000 copy.py:198(_deepcopy_atomic)
        5    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'time' of 'datetime.datetime' objects}
        1    0.000    0.000    0.000    0.000 offsets.py:2778(isAnchored)
        2    0.000    0.000    0.000    0.000 index_tricks.py:574(__iter__)
        2    0.000    0.000    0.000    0.000 {function __getitem__ at 0x108f00938}
